order,pair_key,id_query,query,result_index,id_dataset,title
0,123||ea0042931-precio-final-horas-provisionales-2020,123,dana,85,ea0042931-precio-final-horas-provisionales-2020,Precio final horas - Provisionales 2020
1,68||a04003003-distritos-censales1,68,ayuntamientos,102,a04003003-distritos-censales1,Distritos censales
2,10||a06004074-censo-de-ganado2,10,poblacion,148,a06004074-censo-de-ganado2,Censo de Ganado
3,150||l01280148-subvenciones-2022,150,ayudas,93,l01280148-subvenciones-2022,Subvenciones 2022
4,11||a04003003-zonas-interes-minero1,11,multas,117,a04003003-zonas-interes-minero1,Zonas interes minero
5,54||l01140060-gestion-de-residuos-epremasa1,54,residuos,101,l01140060-gestion-de-residuos-epremasa1,Gestión de residuos EPREMASA
6,47||l01140517-callejero1,47,callejero,48,l01140517-callejero1,Callejero
7,4||l01280148-cartas-de-servicios1,4,empresas,125,l01280148-cartas-de-servicios1,Cartas de Servicios
8,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,cnae,89,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,Estancias causadas en hospitales de Canarias según comunidades y provincias de residencia. 2014
9,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,energia,5,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,Instalación de producción de energía eléctrica. Datos individualizados
10,140||a02002834-carreteras-informacion-geografica1,140,cartografia,20,a02002834-carreteras-informacion-geografica1,Carreteras: información geográfica
11,113||l01140673-consumo-electrico-municipal,113,electricidad,62,l01140673-consumo-electrico-municipal,Consumo eléctrico municipal
12,53||a04003003-puntos-limpio,53,futbol,15,a04003003-puntos-limpio,Puntos Limpio
13,103||turismo-visitas-concertadas,103,bienes de interes cultural,120,turismo-visitas-concertadas,Visitas turísticas concertadas
14,38||l01280148-bienestar-social-emergencia-social,38,catastro,69,l01280148-bienestar-social-emergencia-social,Bienestar social: Emergencia social
15,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,incendios,95,a04003003-estaciones-bombeo-abastecimiento-abaqua1,Estaciones Bombeo Abastecimiento ABAQUA
16,73||l01140121-alojamientos-de-turismo1,73,hoteles,42,l01140121-alojamientos-de-turismo1,Alojamientos de turismo
17,100||ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,100,inmigracion,68,ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,Emigraciones de extranjeros al extranjero clasificadas por país de destino y grupos de edad. (Identificador API: /t20/p307/a2007/l0/020922.px)
18,94||u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,94,colegios,119,u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,Estudiantes matriculados por residencia familiar grado 2024-2025
19,46||l02000014-gestion-de-residuos-epremasa1,46,calidad del aire,105,l02000014-gestion-de-residuos-epremasa1,Gestión de residuos EPREMASA
20,16||ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,16,agua,30,ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,"Usos del agua reutilizada por comunidades y ciudades autónomas, tipo de uso y periodo (Identificador API: 53452)"
21,142||u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,142,estudiantes,127,u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,Estudiantes matriculados por dedicación Doctorado 2024-2025
22,71||a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,71,covid,121,a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,Datos COVID-19 Positividad en 7 Días Illes Balears
23,114||u02100001-acuerdos-de-movilidad-de-estudiantes-erasmus-y-sicue-curso-2020-2021-universidad-de-zaragoza1,114,movilidad,20,u02100001-acuerdos-de-movilidad-de-estudiantes-erasmus-y-sicue-curso-2020-2021-universidad-de-zaragoza1,Acuerdos de movilidad de estudiantes ERASMUS y SICUE.Curso 2020-2021. Universidad de Zaragoza
24,24||e05073401-estadistica-de-personal-de-las-universidades-personal-docente-e-investigadorpdi-edad-de-la-plantilla-docente-resultados-por-universidades-edad-de-la-plantilla-docente-en-centros-propios-de-universidades-publicas-por-rama-de-ensenanza-y-sexo,24,universidades,17,e05073401-estadistica-de-personal-de-las-universidades-personal-docente-e-investigadorpdi-edad-de-la-plantilla-docente-resultados-por-universidades-edad-de-la-plantilla-docente-en-centros-propios-de-universidades-publicas-por-rama-de-ensenanza-y-sexo,Edad de la plantilla docente en centros propios de universidades públicas por rama de enseñanza y sexo
25,104||a05003423-uso-de-internet-segun-momento-ultimo-de-utilizacion-y-situaciones-laborales-en-canarias-2010,104,ipc,67,a05003423-uso-de-internet-segun-momento-ultimo-de-utilizacion-y-situaciones-laborales-en-canarias-2010,Uso de Internet según momento último de utilización y situaciones laborales en Canarias. 2010
26,103||bienes_artisticos_ayuntamiento,103,bienes de interes cultural,51,bienes_artisticos_ayuntamiento,Bienes histórico artísticos Ayuntamiento
27,103||l01360577-comercios-de-artesania-puntos-de-interes-turistico1,103,bienes de interes cultural,96,l01360577-comercios-de-artesania-puntos-de-interes-turistico1,Comercios de artesanía (Puntos de Interés Turístico)
28,84||a04003003-estaciones-bombeo-abastecimiento-abaqua1,84,cnae,111,a04003003-estaciones-bombeo-abastecimiento-abaqua1,Estaciones Bombeo Abastecimiento ABAQUA
29,63||a04003003-depositos-abastecimiento-abaqua1,63,pib,118,a04003003-depositos-abastecimiento-abaqua1,Depósitos Abastecimiento ABAQUA
30,101||l01280148-contratos-mayores-20181,101,contratos,65,l01280148-contratos-mayores-20181,Contratos Mayores. 2018
31,37||ea0042931-mercado-minorista-de-electricidad-2019t1,37,energia,87,ea0042931-mercado-minorista-de-electricidad-2019t1,Mercado minorista de electricidad 2019T1
32,92||l01140351-gestion-de-residuos-epremasa1,92,gasolineras,86,l01140351-gestion-de-residuos-epremasa1,Gestión de residuos EPREMASA
33,141||a05003423-esquema-de-conceptos-de-medida-de-la-estadistica-de-crecimiento-vegetativo-en-canarias-istac-csm_c00042a,141,curvas de nivel,76,a05003423-esquema-de-conceptos-de-medida-de-la-estadistica-de-crecimiento-vegetativo-en-canarias-istac-csm_c00042a,Esquema de conceptos de medida de la Estadística de Crecimiento Vegetativo en Canarias (ISTAC: CSM_C00042A)
34,41||l01140155-gestion-de-residuos-epremasa1,41,aemet,92,l01140155-gestion-de-residuos-epremasa1,Gestión de residuos EPREMASA
35,104||a04003003-infraestructuras-abaqua1,104,ipc,137,a04003003-infraestructuras-abaqua1,Infraestructuras ABAQUA
