combination,pairs,valid,missing,positive,negative,positive_rate
gemma4:26b + gemini-2.5-flash + gpt-5.4-mini,11779,11756,23,3906,7850,0.332255869343314
gpt-4.1-mini + gemini-2.5-flash + gpt-5.4-mini,11779,11779,0,4669,7110,0.39638339417607604
gpt-4.1-mini + gemma4:26b + gemini-2.5-flash,11779,11756,23,4384,7372,0.3729159578087785
gpt-4.1-mini + gemma4:26b + gpt-5.4-mini,11779,11756,23,3519,8237,0.29933650901667236
gpt-oss:20b + gemini-2.5-flash + gpt-5.4-mini,11779,11779,0,5947,5832,0.504881568893794
gpt-oss:20b + gemma4:26b + gemini-2.5-flash,11779,11756,23,5813,5943,0.4944709084722695
gpt-oss:20b + gemma4:26b + gpt-5.4-mini,11779,11756,23,3815,7941,0.3245151412044913
gpt-oss:20b + gpt-4.1-mini + gemini-2.5-flash,11779,11779,0,5999,5780,0.5092962051107904
gpt-oss:20b + gpt-4.1-mini + gemma4:26b,11779,11756,23,4313,7443,0.36687648860156513
gpt-oss:20b + gpt-4.1-mini + gpt-5.4-mini,11779,11779,0,4589,7190,0.38959164614992786
