annotator,pair_key,id_query,id_dataset,main_resource,scope,supporting_field,quote,reason,relevance
humano_2,123||ea0042931-precio-final-horas-provisionales-2020,123,ea0042931-precio-final-horas-provisionales-2020,dana,,,,unrelated,false
humano_2,68||a04003003-distritos-censales1,68,a04003003-distritos-censales1,ayuntamientos,,,,unrelated,false
humano_2,10||a06004074-censo-de-ganado2,10,a06004074-censo-de-ganado2,poblacion,,title,Censo de Ganado,subtype,true
humano_2,150||l01280148-subvenciones-2022,150,l01280148-subvenciones-2022,ayudas,,title,Subvenciones,direct_match,true
humano_2,11||a04003003-zonas-interes-minero1,11,a04003003-zonas-interes-minero1,multas,,,,unrelated,false
humano_2,54||l01140060-gestion-de-residuos-epremasa1,54,l01140060-gestion-de-residuos-epremasa1,residuos,,title,Gestión de residuos,direct_match,true
humano_2,47||l01140517-callejero1,47,l01140517-callejero1,callejero,,title,Callejero,direct_match,true
humano_2,4||l01280148-cartas-de-servicios1,4,l01280148-cartas-de-servicios1,empresas,,,,insufficient_evidence,false
humano_2,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,cnae,,,,unrelated,false
humano_2,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,energia,,title,producción de energía eléctrica,subtype,true
humano_2,140||a02002834-carreteras-informacion-geografica1,140,a02002834-carreteras-informacion-geografica1,cartografia,,title,información geográfica,subtype,true
humano_2,113||l01140673-consumo-electrico-municipal,113,l01140673-consumo-electrico-municipal,electricidad,,title,eléctrico,direct_match,true
humano_2,53||a04003003-puntos-limpio,53,a04003003-puntos-limpio,futbol,,,,unrelated,false
humano_2,103||turismo-visitas-concertadas,103,turismo-visitas-concertadas,bienes de interes cultural,,,,unrelated,false
humano_2,38||l01280148-bienestar-social-emergencia-social,38,l01280148-bienestar-social-emergencia-social,catastro,,,,unrelated,false
humano_2,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,a04003003-estaciones-bombeo-abastecimiento-abaqua1,incendios,,title,Estaciones Bombeo,subtype,true
humano_2,73||l01140121-alojamientos-de-turismo1,73,l01140121-alojamientos-de-turismo1,hoteles,,title,turismo,direct_match,true
humano_2,100||ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,100,ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,inmigracion,,title,Emigraciones,subtype,true
humano_2,94||u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,94,u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,Estudiantes,,,,generic,false
humano_2,46||l02000014-gestion-de-residuos-epremasa1,46,l02000014-gestion-de-residuos-epremasa1,calidad del aire,,,,unrelated,false
humano_2,16||ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,16,ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,agua,,title,agua reutilizada,direct_match,true
humano_2,142||u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,142,u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,estudiantes,,title,Estudiantes,direct_match,true
humano_2,71||a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,71,a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,covid,,title,COVID-19,direct_match,true
humano_2,114||u02100001-acuerdos-de-movilidad-de-estudiantes-erasmus-y-sicue-curso-2020-2021-universidad-de-zaragoza1,114,u02100001-acuerdos-de-movilidad-de-estudiantes-erasmus-y-sicue-curso-2020-2021-universidad-de-zaragoza1,movilidad,,title,movilidad de estudiantes,subtype,true
humano_2,24||e05073401-estadistica-de-personal-de-las-universidades-personal-docente-e-investigadorpdi-edad-de-la-plantilla-docente-resultados-por-universidades-edad-de-la-plantilla-docente-en-centros-propios-de-universidades-publicas-por-rama-de-ensenanza-y-sexo,24,e05073401-estadistica-de-personal-de-las-universidades-personal-docente-e-investigadorpdi-edad-de-la-plantilla-docente-resultados-por-universidades-edad-de-la-plantilla-docente-en-centros-propios-de-universidades-publicas-por-rama-de-ensenanza-y-sexo,universidades,,title,plantilla docente en centros propios de universidades públicas,subtype,true
humano_2,104||a05003423-uso-de-internet-segun-momento-ultimo-de-utilizacion-y-situaciones-laborales-en-canarias-2010,104,a05003423-uso-de-internet-segun-momento-ultimo-de-utilizacion-y-situaciones-laborales-en-canarias-2010,ipc,,,,unrelated,false
humano_2,103||bienes_artisticos_ayuntamiento,103,bienes_artisticos_ayuntamiento,bienes de interes cultural,,title,Bienes histórico artísticos,direct_match,true
