ID	QUERY	seccion_s2	Número de eventos
1	aulas hospitalarias andalucia	home	874
3	vivienda	conjuntos de datos	373
4	empresas	conjuntos de datos	366
5	municipios	conjuntos de datos	343
6	turismo	conjuntos de datos	336
10	poblacion	conjuntos de datos	242
11	multas	conjuntos de datos	224
13	codigos postales	conjuntos de datos	213
14	salud	conjuntos de datos	211
15	vehiculos	conjuntos de datos	204
16	agua	conjuntos de datos	203
17	alquiler	conjuntos de datos	199
18	trafico	conjuntos de datos	196
19	presupuestos	conjuntos de datos	195
21	subvenciones	conjuntos de datos	188
22	provincias	conjuntos de datos	170
24	universidades	conjuntos de datos	167
25	centros educativos	conjuntos de datos	165
26	accidentes	conjuntos de datos	164
29	temperatura	conjuntos de datos	160
31	clima	conjuntos de datos	157
32	gas	conjuntos de datos	154
33	educacion	conjuntos de datos	148
34	instaladores gas	home	148
35	asociaciones	conjuntos de datos	147
37	energia	conjuntos de datos	144
38	catastro	conjuntos de datos	143
39	empleo	conjuntos de datos	143
40	transporte	conjuntos de datos	142
41	aemet	conjuntos de datos	141
42	elecciones	conjuntos de datos	140
45	incendios	conjuntos de datos	136
46	calidad del aire	conjuntos de datos	131
47	callejero	conjuntos de datos	130
48	carreteras	conjuntos de datos	130
49	calendario laboral	conjuntos de datos	128
50	criminalidad	conjuntos de datos	128
51	paro	conjuntos de datos	128
53	futbol	conjuntos de datos	123
54	residuos	conjuntos de datos	123
55	dgt	conjuntos de datos	122
57	festivos	conjuntos de datos	120
58	delitos	conjuntos de datos	119
59	licitaciones	conjuntos de datos	119
62	embalses	conjuntos de datos	116
63	pib	conjuntos de datos	116
64	farmacias	conjuntos de datos	115
65	calendario	conjuntos de datos	114
66	consumo	conjuntos de datos	111
68	ayuntamientos	conjuntos de datos	108
70	inteligencia artificial	conjuntos de datos	107
71	covid	conjuntos de datos	105
72	faros	conjuntos de datos	104
73	hoteles	conjuntos de datos	103
74	precio	conjuntos de datos	102
76	salud mental	conjuntos de datos	101
80	deporte	conjuntos de datos	96
82	patrimonio	conjuntos de datos	95
83	cooperativas	conjuntos de datos	94
84	cnae	conjuntos de datos	93
86	agricultura	conjuntos de datos	92
89	cancer	conjuntos de datos	91
90	restaurantes	conjuntos de datos	90
91	contaminacion	conjuntos de datos	89
92	gasolineras	conjuntos de datos	89
94	colegios	conjuntos de datos	88
95	ventas	conjuntos de datos	87
97	ganaderia	conjuntos de datos	85
98	centros de salud	conjuntos de datos	84
100	inmigracion	conjuntos de datos	82
101	contratos	conjuntos de datos	80
102	renfe	conjuntos de datos	78
103	bienes de interes cultural	conjuntos de datos	76
104	ipc	conjuntos de datos	76
105	libros	conjuntos de datos	76
108	censo	conjuntos de datos	75
109	defunciones	conjuntos de datos	74
110	musica	conjuntos de datos	74
111	precipitacion	conjuntos de datos	74
112	barrios	conjuntos de datos	73
113	electricidad	conjuntos de datos	73
114	movilidad	conjuntos de datos	73
116	cultura	conjuntos de datos	72
118	hospitales	conjuntos de datos	72
121	matriculaciones	conjuntos de datos	70
123	dana	conjuntos de datos	69
124	redes sociales	conjuntos de datos	69
125	renta	conjuntos de datos	69
126	banderas azules	conjuntos de datos	68
127	fundaciones	conjuntos de datos	68
131	playas	conjuntos de datos	66
133	bibliotecas	conjuntos de datos	65
135	justicia	conjuntos de datos	65
136	museos	conjuntos de datos	65
139	arqueologia	conjuntos de datos	64
140	cartografia	conjuntos de datos	64
141	curvas de nivel	conjuntos de datos	64
142	estudiantes	conjuntos de datos	64
148	pesca	conjuntos de datos	62
150	ayudas	conjuntos de datos	61
