timestamp_utc,annotator,pair_key,id_query,id_dataset,main_resource,scope,supporting_field,quote,reason,relevance,notes
2026-09-07T14:24:11.728254+00:00,humano_1,123||ea0042931-precio-final-horas-provisionales-2020,123,ea0042931-precio-final-horas-provisionales-2020,dana,,,,unrelated,false,
2026-09-07T14:24:22.892768+00:00,humano_1,68||a04003003-distritos-censales1,68,a04003003-distritos-censales1,ayuntamiento,,,,unrelated,false,
2026-09-07T14:26:02.974102+00:00,humano_1,10||a06004074-censo-de-ganado2,10,a06004074-censo-de-ganado2,población,,title,Censo de Ganado,subtype,true,
2026-09-07T14:26:17.488970+00:00,humano_1,150||l01280148-subvenciones-2022,150,l01280148-subvenciones-2022,Subvenciones,,title,Subvenciones 2022,direct_match,true,
2026-09-07T14:26:27.744548+00:00,humano_1,11||a04003003-zonas-interes-minero1,11,a04003003-zonas-interes-minero1,multa,,,,unrelated,false,
2026-09-07T14:26:46.357897+00:00,humano_1,54||l01140060-gestion-de-residuos-epremasa1,54,l01140060-gestion-de-residuos-epremasa1,residuo,,title,Gestión de residuos EPREMASA,subtype,true,
2026-09-07T14:27:06.234063+00:00,humano_1,47||l01140517-callejero1,47,l01140517-callejero1,callejero,,title,Callejero,direct_match,true,
2026-09-07T14:27:26.433185+00:00,humano_1,4||l01280148-cartas-de-servicios1,4,l01280148-cartas-de-servicios1,empresa,,,,unrelated,false,
2026-09-07T14:27:45.549978+00:00,humano_1,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,cnae,,,,unrelated,false,
2026-09-07T14:28:02.185267+00:00,humano_1,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,energia,,title,Instalación de producción de energía eléctrica,subtype,true,
2026-09-07T14:28:53.177723+00:00,humano_1,140||a02002834-carreteras-informacion-geografica1,140,a02002834-carreteras-informacion-geografica1,cartografia,,title,Carreteras: información geográfica,subtype,true,
2026-09-07T14:29:23.080971+00:00,humano_1,113||l01140673-consumo-electrico-municipal,113,l01140673-consumo-electrico-municipal,electricidad,,title,Consumo eléctrico municipal,direct_match,true,
2026-09-07T14:29:33.126326+00:00,humano_1,53||a04003003-puntos-limpio,53,a04003003-puntos-limpio,futbol,,,,unrelated,false,
2026-09-07T14:30:46.584407+00:00,humano_1,103||turismo-visitas-concertadas,103,turismo-visitas-concertadas,bienes culturales,,,,insufficient_evidence,false,
2026-09-07T14:31:01.102851+00:00,humano_1,38||l01280148-bienestar-social-emergencia-social,38,l01280148-bienestar-social-emergencia-social,catastro,,,,unrelated,false,
2026-09-07T14:31:15.872197+00:00,humano_1,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,a04003003-estaciones-bombeo-abastecimiento-abaqua1,incendios,,title,Estaciones Bombeo,subtype,true,
2026-09-07T14:31:43.431645+00:00,humano_1,73||l01140121-alojamientos-de-turismo1,73,l01140121-alojamientos-de-turismo1,hotel,,description,Hoteles y pensiones,direct_match,true,
2026-09-07T14:32:29.223566+00:00,humano_1,100||ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,100,ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,inmigracion,,title,Emigraciones de extranjeros al extranjero,subtype,true,
2026-09-07T14:32:54.020024+00:00,humano_1,94||u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,94,u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,colegio,,,,insufficient_evidence,false,
2026-09-07T14:33:47.803579+00:00,humano_1,46||l02000014-gestion-de-residuos-epremasa1,46,l02000014-gestion-de-residuos-epremasa1,calidad del aire,,,,unrelated,false,
2026-09-07T14:34:04.120560+00:00,humano_1,16||ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,16,ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,agua,,title,Usos del agua reutilizada,subtype,true,
2026-09-07T14:34:20.590468+00:00,humano_1,142||u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,142,u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,estudiante,,title,Estudiantes matriculados por dedicación Doctorado,direct_match,true,
