combination,n_valid,kappa_h1,kappa_h2,kappa_h3,mean_pairwise_cohen_kappa,mean_pairwise_cohen_kappa_ci_low,mean_pairwise_cohen_kappa_ci_high
gpt-oss:20b + gpt-4.1-mini + gemma4:26b,300,0.5727602278612118,0.46464143426294824,0.581509142415658,0.539636934846606,0.46164725685469377,0.6160433313405768
gpt-oss:20b + gpt-4.1-mini + gemini-2.5-flash,300,0.7872717603261833,0.6689034080875862,0.7807406094968108,0.74563859263686,0.67998155927405,0.806292841390521
gpt-oss:20b + gpt-4.1-mini + gpt-5.4-mini,300,0.602657634184471,0.501136650669361,0.6238163185886626,0.5758702011474982,0.4983456422734766,0.6522736040621397
gpt-oss:20b + gemma4:26b + gemini-2.5-flash,300,0.7813990461049285,0.6519569214604676,0.7618102421595871,0.7317220699083277,0.664751320604736,0.7945494627492163
gpt-oss:20b + gemma4:26b + gpt-5.4-mini,300,0.536480686695279,0.4467213114754098,0.5458422174840085,0.5096814052182325,0.4320582065871747,0.5850876044918499
gpt-oss:20b + gemini-2.5-flash + gpt-5.4-mini,300,0.7742963356346256,0.6568109820485745,0.767842929158928,0.7329834156140427,0.6655979228923975,0.7953721225768033
gpt-4.1-mini + gemma4:26b + gemini-2.5-flash,300,0.5777758531093019,0.4792102401070861,0.5991897599448347,0.5520586177204075,0.47416583923417427,0.6285196212342418
gpt-4.1-mini + gemma4:26b + gpt-5.4-mini,300,0.4924618811033065,0.41869951864240845,0.5150380737652616,0.47539982450365886,0.3969155905413798,0.552128966893907
gpt-4.1-mini + gemini-2.5-flash + gpt-5.4-mini,300,0.6151504609497304,0.5122054227553001,0.6361903936939668,0.5878487591329992,0.5095991850999284,0.6640228454634259
gemma4:26b + gemini-2.5-flash + gpt-5.4-mini,300,0.5413436692506459,0.46096654275092924,0.5632626846499679,0.521857632217181,0.4435482204751543,0.5973886183056879
