combination,n,tp,tn,fp,fn,accuracy,kappa,precision,recall,f1,kappa_ci_low,kappa_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high
gpt-oss:20b + gpt-4.1-mini + gemma4:26b,300,106,125,2,67,0.77,0.5589363334185631,0.9814814814814815,0.6127167630057804,0.7544483985765125,0.4753716117749927,0.6416237635299014,0.9519230769230769,1.0,0.5398746862799777,0.6833333333333333,0.6950354609929078,0.806896551724138
gpt-oss:20b + gpt-4.1-mini + gemini-2.5-flash,300,143,124,3,30,0.89,0.7808958923512748,0.9794520547945206,0.8265895953757225,0.896551724137931,0.7099264482827449,0.8471422241914045,0.9536385338056368,1.0,0.7696629213483146,0.8809555984555983,0.8601380701210053,0.9299363057324841
gpt-oss:20b + gpt-4.1-mini + gpt-5.4-mini,300,114,124,3,59,0.7933333333333333,0.6001547787953051,0.9743589743589743,0.6589595375722543,0.7862068965517242,0.5180111618467783,0.6809895833333334,0.9421487603305785,1.0,0.5892857142857143,0.7283236994219653,0.7326732673267327,0.8348362381072661
gpt-oss:20b + gemma4:26b + gemini-2.5-flash,300,139,125,2,34,0.88,0.7621878715814507,0.9858156028368794,0.8034682080924855,0.8853503184713376,0.690327001450572,0.8328023841102216,0.9629629629629629,1.0,0.7430127693535515,0.8603384435494348,0.8461538461538461,0.920248113361203
gpt-oss:20b + gemma4:26b + gpt-5.4-mini,300,99,126,1,74,0.75,0.5243128964059197,0.99,0.5722543352601156,0.7252747252747254,0.44116111187498525,0.6052997666335227,0.967032967032967,1.0,0.5,0.6449704142011834,0.662020905923345,0.7811447811447811
gpt-oss:20b + gemini-2.5-flash + gpt-5.4-mini,300,141,124,3,32,0.8833333333333333,0.7680890538033395,0.9791666666666666,0.815028901734104,0.889589905362776,0.6963696369636964,0.8342614691063378,0.9530135285102784,1.0,0.7562461890243902,0.8703703703703703,0.8517085735312154,0.9235474006116209
gpt-4.1-mini + gemma4:26b + gemini-2.5-flash,300,110,124,3,63,0.78,0.5760352875679843,0.9734513274336283,0.6358381502890174,0.7692307692307693,0.49324056765318636,0.6587941432530869,0.9401709401709402,1.0,0.5652173913043478,0.7058823529411765,0.7137254901960784,0.82
gpt-4.1-mini + gemma4:26b + gpt-5.4-mini,300,95,125,2,78,0.7333333333333333,0.4940764787722921,0.979381443298969,0.5491329479768786,0.7037037037037037,0.41123001257635644,0.5762753928815803,0.9468085106382979,1.0,0.4748603351955307,0.6226443339735622,0.6384615384615384,0.7619047619047619
gpt-4.1-mini + gemini-2.5-flash + gpt-5.4-mini,300,116,124,3,57,0.8,0.6122862189290484,0.9747899159663865,0.6705202312138728,0.7945205479452054,0.5299975230178359,0.6928104575163399,0.943089430894309,1.0,0.6011552575176983,0.7391304347826086,0.7422660277061855,0.8421052631578948
gemma4:26b + gemini-2.5-flash + gpt-5.4-mini,300,103,125,2,70,0.76,0.5411089866156789,0.9809523809523809,0.5953757225433526,0.7410071942446044,0.45785951343382425,0.6222810749793773,0.9509803921568627,1.0,0.5222222222222223,0.6666666666666666,0.6796875,0.7948717948717948
